,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,gmtOffsetMilliSeconds,quoteType
1,RECN,Resources Connection Inc,2020-01-02T21:05:00.000Z,TAS,0.3,0.38,26.67,0,EQUITY
3,RGP,"Resources Connection, Inc.",2020-01-02T05:00:00.000Z,TNS,0.31,0.38,24.59,0,EQUITY
5,LW,"Lamb Weston Holdings, Inc.",2020-01-03T05:00:00.000Z,TNS,0.85,0.95,12.43,0,EQUITY
6,SOYIF,Soda Sanayii A.S.,2020-01-05T05:00:00.000Z,TNS,,0.3,,0,EQUITY
7,PIR,Pier 1 Imports Inc,2020-01-06T21:15:00.000Z,TAS,-5.19,,,0,EQUITY
8,PIRRQ,"Pier 1 Imports, Inc.",2020-01-06T05:00:00.000Z,TNS,,,,0,EQUITY
10,DSKIF,"Daiseki Co.,Ltd.",2020-01-06T05:00:00.000Z,TNS,,47.38,,0,EQUITY
15,ANGO,"AngioDynamics, Inc.",2020-01-07T05:00:00.000Z,TNS,0.02,0.06,160.87,0,EQUITY
16,PCYO,Pure Cycle Corporation,2020-01-07T05:00:00.000Z,TNS,,,,0,EQUITY
17,NTIC,Northern Technologies International Corporation,2020-01-07T05:00:00.000Z,TNS,0.13,0.13,0.0,0,EQUITY
18,CYAGF,"CyberAgent, Inc.",2020-01-07T05:00:00.000Z,TNS,7.24,11.55,59.49,0,EQUITY
19,PTGIF,PT Medco Energi Internasional Tbk,2020-01-07T05:00:00.000Z,TNS,,,,0,EQUITY
20,EXFO,EXFO Inc.,2020-01-07T05:00:00.000Z,TNS,0.04,0.04,2.56,0,EQUITY
21,STRM,"Streamline Health Solutions, Inc.",2020-01-07T05:00:00.000Z,TNS,0.01,-0.01,-300.0,0,EQUITY
22,WBA,"Walgreens Boots Alliance, Inc.",2020-01-08T05:00:00.000Z,TNS,1.41,1.37,-3.04,0,EQUITY
23,AMKYF,"ABC-Mart, Inc.",2020-01-08T05:00:00.000Z,TNS,72.7,68.57,-5.68,0,EQUITY
24,CHBJF,China CITIC Bank Corporation Limited,2020-01-08T05:00:00.000Z,TNS,0.21,0.2,-4.76,0,EQUITY
25,STZ-B,"Constellation Brands, Inc.",2020-01-08T05:00:00.000Z,TNS,1.83,2.14,16.75,0,EQUITY
26,LXRP,Lexaria Bioscience Corp.,2020-01-08T05:00:00.000Z,TNS,,,,0,EQUITY
27,BBBY,Bed Bath & Beyond Inc.,2020-01-08T05:00:00.000Z,TNS,0.02,-0.38,-1827.27,0,EQUITY
28,STZ,"Constellation Brands, Inc.",2020-01-08T05:00:00.000Z,TNS,1.83,2.14,16.75,0,EQUITY
29,GDDFF,Goodfood Market Corp.,2020-01-08T05:00:00.000Z,TNS,-0.12,-0.09,28.0,0,EQUITY
30,CCF,Chase Corporation,2020-01-08T05:00:00.000Z,TNS,,,,0,EQUITY
32,MSM,"MSC Industrial Direct Co., Inc.",2020-01-08T05:00:00.000Z,TNS,1.17,1.21,3.77,0,EQUITY
33,SAR,Saratoga Investment Corp.,2020-01-08T05:00:00.000Z,TNS,0.58,1.37,134.99,0,EQUITY
34,UNF,UniFirst Corporation,2020-01-08T05:00:00.000Z,TNS,2.01,2.52,25.56,0,EQUITY
36,CORVF,Corvus Gold Inc.,2020-01-08T05:00:00.000Z,TNS,-0.02,-0.03,-50.0,0,EQUITY
37,CHSCP,CHS Inc.,2020-01-08T05:00:00.000Z,TNS,,,,0,EQUITY
38,GBX,"The Greenbrier Companies, Inc.",2020-01-08T05:00:00.000Z,TNS,0.43,0.3,-30.72,0,EQUITY
39,RELL,"Richardson Electronics, Ltd.",2020-01-08T05:00:00.000Z,TNS,0.02,-0.05,-350.0,0,EQUITY
41,HELE,Helen of Troy Limited,2020-01-08T05:00:00.000Z,TNS,2.5,3.12,24.6,0,EQUITY
42,KSHB,"KushCo Holdings, Inc.",2020-01-08T05:00:00.000Z,TNS,-0.09,-0.12,-26.32,0,EQUITY
43,RPM,RPM International Inc.,2020-01-08T05:00:00.000Z,TNS,0.73,0.76,4.11,0,EQUITY
44,KRUS,"Kura Sushi USA, Inc.",2020-01-08T05:00:00.000Z,TNS,-0.03,-0.15,-354.55,0,EQUITY
45,SCHN,"Schnitzer Steel Industries, Inc.",2020-01-08T05:00:00.000Z,TNS,-0.16,-0.17,-4.29,0,EQUITY
46,WDFC,WD-40 Company,2020-01-09T05:00:00.000Z,TNS,0.98,0.88,-10.48,0,EQUITY
47,AMLLF,"AEON Mall Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,31.23,28.39,-9.08,0,EQUITY
48,AEHR,Aehr Test Systems,2020-01-09T05:00:00.000Z,TNS,0.01,0.02,100.0,0,EQUITY
49,PKE,Park Aerospace Corp.,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
50,AZZ,AZZ Inc.,2020-01-09T05:00:00.000Z,TNS,0.81,0.84,3.7,0,EQUITY
51,ATZAF,Aritzia Inc.,2020-01-09T05:00:00.000Z,TNS,0.3,0.32,5.26,0,EQUITY
52,AYI,"Acuity Brands, Inc.",2020-01-09T05:00:00.000Z,TNS,2.21,2.13,-3.53,0,EQUITY
54,PONGF,Atari SA,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
55,URPTF,Uranium Participation Corporation,2020-01-09T05:00:00.000Z,TNS,0.58,-0.1,-117.24,0,EQUITY
56,YASKF,YASKAWA Electric Corporation,2020-01-09T05:00:00.000Z,TNS,20.61,8.87,-56.94,0,EQUITY
57,FRCOF,"Fast Retailing Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,752.74,694.73,-7.71,0,EQUITY
58,EMMS,Emmis Communications Corporation,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
59,VOXX,VOXX International Corporation,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
60,CWLPF,The Caldwell Partners International Inc.,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
61,SVNDF,"Seven & i Holdings Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,62.3,67.19,7.84,0,EQUITY
62,FYRTF,"FamilyMart Co., Ltd.",2020-01-09T05:00:00.000Z,TNS,19.63,15.51,-20.99,0,EQUITY
63,LNN,Lindsay Corporation,2020-01-09T05:00:00.000Z,TNS,0.5,0.77,52.78,0,EQUITY
64,CYDY,CytoDyn Inc.,2020-01-09T05:00:00.000Z,TNS,-0.03,-0.04,-33.33,0,EQUITY
66,SMPL,The Simply Good Foods Company,2020-01-09T05:00:00.000Z,TNS,0.21,0.22,7.32,0,EQUITY
67,FC,Franklin Covey Co.,2020-01-09T05:00:00.000Z,TNS,-0.02,-0.04,-66.67,0,EQUITY
68,JNDOF,JINS HOLDINGS Inc.,2020-01-09T05:00:00.000Z,TNS,,,,0,EQUITY
70,PSMT,"PriceSmart, Inc.",2020-01-09T05:00:00.000Z,TNS,0.63,0.64,1.59,0,EQUITY
71,ORMP,Oramed Pharmaceuticals Inc.,2020-01-09T05:00:00.000Z,TNS,-0.24,-0.15,38.78,0,EQUITY
72,SLP,"Simulations Plus, Inc.",2020-01-09T05:00:00.000Z,TNS,0.1,0.11,10.0,0,EQUITY
73,LOOP,"Loop Industries, Inc.",2020-01-09T05:00:00.000Z,TNS,-0.09,-0.1,-11.11,0,EQUITY
74,ANDGF,"Aeon Delight Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
75,IACYF,Inter Action Corporation,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
76,AONNF,"Aeon Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,-5.94,-12.04,-102.68,0,EQUITY
77,TSIHF,"TSI Holdings Co.,Ltd.",2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
78,RYKKF,"Ryohin Keikaku Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,30.97,27.52,-11.13,0,EQUITY
79,CJREF,Corus Entertainment Inc.,2020-01-10T05:00:00.000Z,TNS,0.39,0.38,-1.81,0,EQUITY
80,KSHDF,"Koshidaka Holdings Co., Ltd.",2020-01-10T05:00:00.000Z,TNS,10.73,8.61,-19.74,0,EQUITY
81,OSGCF,OSG Corporation,2020-01-10T05:00:00.000Z,TNS,,30.7,,0,EQUITY
82,LEDS,SemiLEDs Corporation,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
83,HTSUF,"Hisamitsu Pharmaceutical Co., Inc.",2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
84,LWSOF,"Lawson, Inc.",2020-01-10T05:00:00.000Z,TNS,8.1,58.42,621.59,0,EQUITY
85,INFY,Infosys Limited,2020-01-10T05:00:00.000Z,TNS,0.14,0.15,7.91,0,EQUITY
87,ICHIF,Ichigo Inc.,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
88,TIHRF,Tharisa plc,2020-01-10T05:00:00.000Z,TNS,,,,0,EQUITY
89,NNYAF,,2020-01-10T05:00:00.000Z,TNS,0.68,0.42,-38.6,0,EQUITY
90,MBAIF,CIBT Education Group Inc.,2020-01-12T05:00:00.000Z,TNS,,,,0,EQUITY
91,AVLNF,Avalon Advanced Materials Inc.,2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
94,CIIHF,CITIC Securities Company Limited,2020-01-13T05:00:00.000Z,TNS,0.29,0.14,-51.72,0,EQUITY
95,EDUC,Educational Development Corporation,2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
96,SJR,Shaw Communications Inc.,2020-01-13T05:00:00.000Z,TNS,0.33,0.31,-7.19,0,EQUITY
102,GNFTF,Genfit SA,2020-01-13T05:00:00.000Z,TNS,,,,0,EQUITY
103,MKGI,"Monaker Group, Inc.",2020-01-13T05:00:00.000Z,TNS,-0.14,-0.25,-78.57,0,EQUITY
104,SGPRF,Singapore Press Holdings Limited,2020-01-13T05:00:00.000Z,TNS,0.03,0.03,-10.71,0,EQUITY
105,OPSSF,Opsens Inc.,2020-01-13T05:00:00.000Z,TNS,0.0,-0.02,-300.0,0,EQUITY
106,SUEZF,Sudzucker AG,2020-01-14T05:00:00.000Z,TNS,-0.88,-0.35,60.23,0,EQUITY
107,ARTL,"Artelo Biosciences, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
108,SUEZY,Sudzucker AG,2020-01-14T05:00:00.000Z,TNS,-0.88,-0.35,60.23,0,EQUITY
109,SNHPF,"Sanei Architecture Planning Co.,Ltd.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
110,BGOUF,Bang & Olufsen a/s,2020-01-14T05:00:00.000Z,TNS,,-1.4,,0,EQUITY
111,DAL,"Delta Air Lines, Inc.",2020-01-14T05:00:00.000Z,TNS,1.4,1.7,21.17,0,EQUITY
112,APHA,Aphria Inc.,2020-01-14T05:00:00.000Z,TNS,-0.02,-0.03,-50.0,0,EQUITY
113,FRC,First Republic Bank,2020-01-14T05:00:00.000Z,TNS,1.27,1.39,9.45,0,EQUITY
114,BMRA,"Biomerica, Inc.",2020-01-14T05:00:00.000Z,TNS,-0.08,-0.05,37.5,0,EQUITY
115,FRC-PI,First Republic Bank,2020-01-14T05:00:00.000Z,TNS,1.27,1.39,9.45,0,EQUITY
116,CGECF,Cogeco Inc.,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
117,C,Citigroup Inc.,2020-01-14T05:00:00.000Z,TNS,1.84,2.15,16.97,0,EQUITY
119,JPM,JPMorgan Chase & Co.,2020-01-14T05:00:00.000Z,TNS,2.35,2.57,9.32,0,EQUITY
120,WFC-PZ,Wells Fargo & Company,2020-01-14T05:00:00.000Z,TNS,1.12,0.6,-46.57,0,EQUITY
121,KNOFF,CellStop Systems Inc.,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
122,TKCOF,"Toho Co., Ltd.",2020-01-14T05:00:00.000Z,TNS,,36.67,,0,EQUITY
124,SOTK,Sono-Tek Corporation,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
125,JCTCF,Jewett-Cameron Trading Company Ltd.,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
126,CGEAF,Cogeco Communications Inc.,2020-01-14T05:00:00.000Z,TNS,1.75,1.7,-2.86,0,EQUITY
128,CLSH,"CLS Holdings USA, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
129,WFC,Wells Fargo & Company,2020-01-14T05:00:00.000Z,TNS,1.12,0.6,-46.57,0,EQUITY
130,RMCF,"Rocky Mountain Chocolate Factory, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
131,HLKHF,HELLA GmbH & Co. KGaA,2020-01-14T05:00:00.000Z,TNS,0.84,0.76,-9.09,0,EQUITY
132,CIIX,"Chineseinvestors.com, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
133,HUBOF,"Hub Co., Ltd.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
134,WAFD,"Washington Federal, Inc.",2020-01-14T05:00:00.000Z,TNS,0.59,0.58,-2.36,0,EQUITY
135,OGI,OrganiGram Holdings Inc.,2020-01-14T05:00:00.000Z,TNS,-0.03,-0.01,80.0,0,EQUITY
137,SMIT,"Schmitt Industries, Inc.",2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
138,OROXF,Orosur Mining Inc.,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
139,WIT,Wipro Limited,2020-01-14T05:00:00.000Z,TNS,0.06,0.06,0.0,0,EQUITY
140,MWSNF,Mawson Resources Limited,2020-01-14T05:00:00.000Z,TNS,,,,0,EQUITY
141,BDRFF,Beiersdorf Aktiengesellschaft,2020-01-15T05:00:00.000Z,TNS,,,,0,EQUITY
142,AA,Alcoa Corporation,2020-01-15T05:00:00.000Z,TNS,-0.22,-0.31,-42.86,0,EQUITY
143,CRTSF,Chr. Hansen Holding A/S,2020-01-15T05:00:00.000Z,TNS,0.39,0.39,-0.26,0,EQUITY
144,MTTWF,Metro AG,2020-01-15T05:00:00.000Z,TNS,0.39,-0.09,-123.08,0,EQUITY
145,BAC,Bank of America Corporation,2020-01-15T05:00:00.000Z,TNS,0.68,0.74,8.19,0,EQUITY
146,BBT,BB&T Corp,2020-01-15T18:30:00.000Z,BMO,1.01,,,0,EQUITY
148,BLK,"BlackRock, Inc.",2020-01-15T05:00:00.000Z,TNS,7.69,8.34,8.42,0,EQUITY
149,USB-PP,U.S. Bancorp,2020-01-15T05:00:00.000Z,TNS,1.08,0.9,-16.97,0,EQUITY
150,EGBN,"Eagle Bancorp, Inc.",2020-01-15T05:00:00.000Z,TNS,1.07,1.06,-1.12,0,EQUITY
151,USB,U.S. Bancorp,2020-01-15T05:00:00.000Z,TNS,1.08,0.9,-16.97,0,EQUITY
153,FRSCF,Frasers Commercial Trust,2020-01-15T05:00:00.000Z,TNS,,,,0,EQUITY
154,NODAF,Noda Corporation,2020-01-15T05:00:00.000Z,TNS,,44.69,,0,EQUITY
155,CRECF,Critical Elements Lithium Corporation,2020-01-15T05:00:00.000Z,TNS,,,,0,EQUITY
156,HWC,Hancock Whitney Corporation,2020-01-15T05:00:00.000Z,TNS,1.03,1.06,3.11,0,EQUITY
157,DSNY,Destiny Media Technologies Inc.,2020-01-15T05:00:00.000Z,TNS,,,,0,EQUITY
158,PNC,"The PNC Financial Services Group, Inc.",2020-01-15T05:00:00.000Z,TNS,2.93,2.97,1.26,0,EQUITY
160,PNC-PQ,"The PNC Financial Services Group, Inc.",2020-01-15T05:00:00.000Z,TNS,2.93,2.97,1.26,0,EQUITY
161,GS-PN,"The Goldman Sachs Group, Inc.",2020-01-15T05:00:00.000Z,TNS,5.47,4.69,-14.2,0,EQUITY
162,UNH,UnitedHealth Group Incorporated,2020-01-15T05:00:00.000Z,TNS,3.77,3.9,3.34,0,EQUITY
163,GS,"The Goldman Sachs Group, Inc.",2020-01-15T05:00:00.000Z,TNS,5.47,4.69,-14.2,0,EQUITY
165,HOMB,"Home Bancshares, Inc. (Conway, AR)",2020-01-16T05:00:00.000Z,TNS,0.42,0.44,4.27,0,EQUITY
166,BK-PC,The Bank of New York Mellon Corporation,2020-01-16T05:00:00.000Z,TNS,1.01,1.01,0.4,0,EQUITY
167,CBAN,"Colony Bankcorp, Inc.",2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
168,BMTC,Bryn Mawr Bank Corporation,2020-01-16T05:00:00.000Z,TNS,0.78,0.81,3.58,0,EQUITY
169,OZK,Bank OZK,2020-01-16T05:00:00.000Z,TNS,0.76,0.78,2.23,0,EQUITY
170,BEDU,Bright Scholar Education Holdings Limited,2020-01-16T05:00:00.000Z,TNS,1.59,1.76,10.69,0,EQUITY
171,BK,The Bank of New York Mellon Corporation,2020-01-16T05:00:00.000Z,TNS,1.01,1.01,0.4,0,EQUITY
172,INDB,Independent Bank Corp.,2020-01-16T05:00:00.000Z,TNS,1.39,1.51,8.87,0,EQUITY
173,WABC,Westamerica Bancorporation,2020-01-16T05:00:00.000Z,TNS,0.75,0.77,3.22,0,EQUITY
174,TSM,Taiwan Semiconductor Manufacturing Company Limited,2020-01-16T05:00:00.000Z,TNS,0.73,0.73,0.69,0,EQUITY
175,FEDU,Four Seasons Education (Cayman) Inc.,2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
176,CSX,CSX Corporation,2020-01-16T05:00:00.000Z,TNS,0.96,0.99,2.91,0,EQUITY
177,HGYMF,"Hogy Medical Co.,Ltd.",2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
178,SCHW-PD,The Charles Schwab Corporation,2020-01-16T05:00:00.000Z,TNS,0.64,0.62,-2.97,0,EQUITY
179,CZNC,Citizens & Northern Corporation,2020-01-16T05:00:00.000Z,TNS,,0.42,,0,EQUITY
180,SCHW,The Charles Schwab Corporation,2020-01-16T05:00:00.000Z,TNS,0.64,0.62,-2.97,0,EQUITY
182,GRUPF,Fnac Darty SA,2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
183,PBCT,"People's United Financial, Inc.",2020-01-16T05:00:00.000Z,TNS,0.33,0.37,12.8,0,EQUITY
184,HIFS,Hingham Institution for Savings,2020-01-16T05:00:00.000Z,TNS,,,,0,EQUITY
185,PBCTP,"People's United Financial, Inc.",2020-01-16T05:00:00.000Z,TNS,0.33,0.37,12.8,0,EQUITY
186,WNS,WNS (Holdings) Limited,2020-01-16T05:00:00.000Z,TNS,0.74,0.8,7.82,0,EQUITY
187,PPG,"PPG Industries, Inc.",2020-01-16T05:00:00.000Z,TNS,1.34,1.31,-2.09,0,EQUITY
188,IIIN,"Insteel Industries, Inc.",2020-01-16T05:00:00.000Z,TNS,-0.11,0.03,127.27,0,EQUITY
190,MS-PL,Morgan Stanley,2020-01-16T05:00:00.000Z,TNS,1.0,1.3,30.39,0,EQUITY
191,MS,Morgan Stanley,2020-01-16T05:00:00.000Z,TNS,1.0,1.3,30.39,0,EQUITY
192,DRWKF,Dragerwerk AG & Co. KGaA,2020-01-17T05:00:00.000Z,TNS,,2.04,,0,EQUITY
193,BBAGF,BB Biotech AG,2020-01-17T05:00:00.000Z,TNS,,9.11,,0,EQUITY
194,CIHHF,"China Merchants Bank Co., Ltd.",2020-01-17T05:00:00.000Z,TNS,0.69,0.57,-16.79,0,EQUITY
195,BOCH,Bank of Commerce Holdings,2020-01-17T05:00:00.000Z,TNS,0.25,0.24,-5.14,0,EQUITY
196,BANF,BancFirst Corporation,2020-01-17T05:00:00.000Z,TNS,1.04,1.09,5.11,0,EQUITY
197,PBIP,"Prudential Bancorp, Inc.",2020-01-17T05:00:00.000Z,TNS,,,,0,EQUITY
198,FHN-PA,First Horizon National Corporation,2020-01-17T05:00:00.000Z,TNS,0.42,0.47,12.71,0,EQUITY
199,KSU-P,Kansas City Southern,2020-01-17T05:00:00.000Z,TNS,1.84,1.82,-1.25,0,EQUITY
200,RF,Regions Financial Corporation,2020-01-17T05:00:00.000Z,TNS,0.39,0.39,0.52,0,EQUITY
201,CFG,"Citizens Financial Group, Inc.",2020-01-17T05:00:00.000Z,TNS,0.95,0.98,3.05,0,EQUITY
202,STT-PG,State Street Corporation,2020-01-17T05:00:00.000Z,TNS,1.7,1.98,16.81,0,EQUITY
203,FAST,Fastenal Company,2020-01-17T05:00:00.000Z,TNS,0.31,0.31,-1.27,0,EQUITY
204,FHN,First Horizon National Corporation,2020-01-17T05:00:00.000Z,TNS,0.42,0.47,12.71,0,EQUITY
205,STT,State Street Corporation,2020-01-17T05:00:00.000Z,TNS,1.7,1.98,16.81,0,EQUITY
206,RF-PC,Regions Financial Corporation,2020-01-17T05:00:00.000Z,TNS,0.39,0.39,0.52,0,EQUITY
207,KSU,Kansas City Southern,2020-01-17T05:00:00.000Z,TNS,1.84,1.82,-1.25,0,EQUITY
208,CFG-PE,"Citizens Financial Group, Inc.",2020-01-17T05:00:00.000Z,TNS,0.95,0.98,3.05,0,EQUITY
209,VEL,"Velocity Financial, Inc.",2020-01-17T05:00:00.000Z,TNS,,,,0,EQUITY
210,JBHT,"J.B. Hunt Transport Services, Inc.",2020-01-17T05:00:00.000Z,TNS,1.5,1.35,-10.06,0,EQUITY
211,DNK,Phoenix Tree Holdings Limited,2020-01-17T05:00:00.000Z,TNS,,,,0,EQUITY
214,SLB,Schlumberger Limited,2020-01-17T05:00:00.000Z,TNS,0.37,0.39,6.27,0,EQUITY
215,TIEMF,Tiemco Ltd.,2020-01-17T05:00:00.000Z,TNS,,,,0,EQUITY
216,HDB,HDFC Bank Limited,2020-01-18T05:00:00.000Z,TNS,0.55,0.59,7.52,0,EQUITY
217,HBGRY,Heidelberger Druckmaschinen Aktiengesellschaft,2020-01-20T05:00:00.000Z,TNS,,,,0,EQUITY
218,CLLKF,Cellink AB (publ),2020-01-20T05:00:00.000Z,TNS,-1.35,-0.53,60.74,0,EQUITY
219,AFHFF,AFH Financial Group Plc,2020-01-20T05:00:00.000Z,TNS,,,,0,EQUITY
220,HBGRF,Heidelberger Druckmaschinen Aktiengesellschaft,2020-01-20T05:00:00.000Z,TNS,,,,0,EQUITY
223,FITBI,Fifth Third Bancorp,2020-01-20T18:30:00.000Z,BMO,,,,0,EQUITY
224,PPLXF,People Corporation,2020-01-20T05:00:00.000Z,TNS,0.05,0.02,-60.0,0,EQUITY
226,FDEF,First Defiance Financial Corp.,2020-01-20T05:00:00.000Z,TNS,0.63,0.66,4.76,0,EQUITY
227,KPCPF,Kasikornbank Public Company Limited,2020-01-20T05:00:00.000Z,TNS,,,,0,EQUITY
228,EFSC,Enterprise Financial Services Corp,2020-01-20T05:00:00.000Z,TNS,1.09,1.09,0.0,0,EQUITY
230,LOGI,Logitech International S.A.,2020-01-20T05:00:00.000Z,TNS,0.79,0.84,6.46,0,EQUITY
231,KPLIF,Keppel Infrastructure Trust,2020-01-20T05:00:00.000Z,TNS,,,,0,EQUITY
232,MAPGF,Mapletree Logistics Trust,2020-01-20T05:00:00.000Z,TNS,,,,0,EQUITY
233,AUB,Atlantic Union Bankshares Corporation,2020-01-21T05:00:00.000Z,TNS,0.7,0.71,1.28,0,EQUITY
234,ZION,"Zions Bancorporation, National Association",2020-01-21T05:00:00.000Z,TNS,1.07,0.97,-9.51,0,EQUITY
235,UBS,UBS Group AG,2020-01-21T05:00:00.000Z,TNS,0.19,0.27,42.11,0,EQUITY
236,GBERF,Geberit AG,2020-01-21T05:00:00.000Z,TNS,3.54,3.08,-12.99,0,EQUITY
237,ZIONW,"Zions Bancorporation, National Association",2020-01-21T05:00:00.000Z,TNS,1.07,0.97,-9.51,0,EQUITY
238,SDVKY,Sandvik AB,2020-01-21T05:00:00.000Z,TNS,,,,0,EQUITY
239,UAL,"United Airlines Holdings, Inc.",2020-01-21T05:00:00.000Z,TNS,2.65,2.67,0.79,0,EQUITY
240,AMTD,TD Ameritrade Holding Corporation,2020-01-21T05:00:00.000Z,TNS,0.77,0.74,-4.27,0,EQUITY
241,DIT,AMCON Distributing Company,2020-01-21T05:00:00.000Z,TNS,,,,0,EQUITY
242,SDVKF,Sandvik AB,2020-01-21T05:00:00.000Z,TNS,2.77,2.77,-0.04,0,EQUITY
243,IBM,International Business Machines Corporation,2020-01-21T05:00:00.000Z,TNS,4.68,4.71,0.53,0,EQUITY
244,HBMD,"Howard Bancorp, Inc.",2020-01-21T05:00:00.000Z,TNS,0.26,0.31,19.23,0,EQUITY
245,TBK,"Triumph Bancorp, Inc.",2020-01-21T05:00:00.000Z,TNS,0.61,0.66,8.37,0,EQUITY
246,BKKPF,Bangkok Bank Public Company Limited,2020-01-21T05:00:00.000Z,TNS,5.19,4.19,-19.31,0,EQUITY
247,SFBS,"ServisFirst Bancshares, Inc.",2020-01-21T05:00:00.000Z,TNS,0.69,0.76,10.47,0,EQUITY
248,HLAN,Heartland BancCorp,2020-01-21T05:00:00.000Z,TNS,1.58,1.67,5.7,0,EQUITY
249,TRST,TrustCo Bank Corp NY,2020-01-21T05:00:00.000Z,TNS,,0.14,,0,EQUITY
250,MNSB,"MainStreet Bancshares, Inc.",2020-01-21T05:00:00.000Z,TNS,0.44,0.43,-2.27,0,EQUITY
251,BSRR,Sierra Bancorp,2020-01-21T05:00:00.000Z,TNS,0.57,0.6,6.01,0,EQUITY
252,IBKR,"Interactive Brokers Group, Inc.",2020-01-21T05:00:00.000Z,TNS,0.61,0.57,-7.01,0,EQUITY
253,KTHAF,Krung Thai Bank Public Company Limited,2020-01-21T05:00:00.000Z,TNS,0.51,0.53,4.54,0,EQUITY
254,KGTFF,Krung Thai Bank Public Company Limited,2020-01-21T05:00:00.000Z,TNS,0.51,0.53,4.54,0,EQUITY
255,UNTY,"Unity Bancorp, Inc.",2020-01-21T05:00:00.000Z,TNS,0.53,0.55,3.0,0,EQUITY
256,PACW,PacWest Bancorp,2020-01-21T05:00:00.000Z,TNS,0.88,0.98,11.24,0,EQUITY
257,UCBI,"United Community Banks, Inc.",2020-01-21T05:00:00.000Z,TNS,0.58,0.61,5.54,0,EQUITY
259,ONB,Old National Bancorp,2020-01-21T05:00:00.000Z,TNS,0.35,0.29,-16.67,0,EQUITY
260,BKKLF,Bangkok Bank Public Company Limited,2020-01-21T05:00:00.000Z,TNS,5.05,4.19,-17.0,0,EQUITY
261,MBWM,Mercantile Bank Corporation,2020-01-21T05:00:00.000Z,TNS,0.65,0.81,25.0,0,EQUITY
262,FMBI,"First Midwest Bancorp, Inc.",2020-01-21T05:00:00.000Z,TNS,0.5,0.51,2.41,0,EQUITY
263,GNTY,"Guaranty Bancshares, Inc.",2020-01-21T05:00:00.000Z,TNS,0.6,0.63,5.35,0,EQUITY
264,GSBC,"Great Southern Bancorp, Inc.",2020-01-21T05:00:00.000Z,TNS,1.25,1.21,-2.81,0,EQUITY
265,SBNY,Signature Bank,2020-01-21T05:00:00.000Z,TNS,2.7,2.78,3.12,0,EQUITY
266,FBMS,"The First Bancshares, Inc.",2020-01-21T05:00:00.000Z,TNS,0.74,0.72,-2.31,0,EQUITY
267,PEBO,Peoples Bancorp Inc.,2020-01-21T05:00:00.000Z,TNS,0.68,0.73,7.51,0,EQUITY
268,NCBS,"Nicolet Bankshares, Inc.",2020-01-21T05:00:00.000Z,TNS,1.13,1.18,4.15,0,EQUITY
270,RNST,Renasant Corporation,2020-01-21T05:00:00.000Z,TNS,0.66,0.67,1.82,0,EQUITY
271,WTFCP,Wintrust Financial Corporation,2020-01-21T05:00:00.000Z,TNS,1.58,1.44,-8.75,0,EQUITY
272,WTFC,Wintrust Financial Corporation,2020-01-21T05:00:00.000Z,TNS,1.58,1.44,-8.75,0,EQUITY
274,HAL,Halliburton Company,2020-01-21T05:00:00.000Z,TNS,0.29,0.32,9.59,0,EQUITY
275,UCFC,United Community Financial Corp.,2020-01-21T05:00:00.000Z,TNS,0.21,0.23,9.52,0,EQUITY
