,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,gmtOffsetMilliSeconds,quoteType
4317,NYMTP,"New York Mortgage Trust, Inc.",2020-02-24T05:00:00.000Z,TNS,0.17,0.2,20.48,0,EQUITY
4318,PTITF,PT Indosat Tbk,2020-02-24T05:00:00.000Z,TNS,-92.81,341.11,467.55,0,EQUITY
4319,SDLP,Seadrill Partners LLC,2020-02-24T15:59:00.000Z,TNS,,,,0,EQUITY
4320,NZMEF,NZME Limited,2020-02-24T05:00:00.000Z,TNS,,,,0,EQUITY
4321,TNTFF,PostNL N.V.,2020-02-24T05:00:00.000Z,TNS,,,,0,EQUITY
4322,UMSSF,,2020-02-24T05:00:00.000Z,TNS,,,,0,EQUITY
4323,PGSWF,,2020-02-24T05:00:00.000Z,TNS,,,,0,EQUITY
4324,FPLSF,5N Plus Inc.,2020-02-25T05:00:00.000Z,TNS,0.02,0.01,-50.0,0,EQUITY
4325,BGFV,Big 5 Sporting Goods Corporation,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4326,CTTRF,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",2020-02-25T05:00:00.000Z,TNS,0.79,1.27,60.76,0,EQUITY
4327,GOL,Gol Linhas Aereas Inteligentes S.A.,2020-02-25T05:00:00.000Z,TNS,0.82,0.44,-46.08,0,EQUITY
4328,AHT-PI,"Ashford Hospitality Trust, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.5,-0.39,22.0,0,EQUITY
4329,ASMVF,ASM Pacific Technology Limited,2020-02-25T05:00:00.000Z,TNS,0.64,0.53,-17.45,0,EQUITY
4330,GAPFF,Aimia Inc.,2020-02-25T05:00:00.000Z,TNS,-0.05,0.2,500.0,0,EQUITY
4331,RYAM,Rayonier Advanced Materials Inc.,2020-02-25T05:00:00.000Z,TNS,-0.29,0.45,255.17,0,EQUITY
4332,AMWD,American Woodmark Corporation,2020-02-25T05:00:00.000Z,TNS,1.46,1.3,-10.84,0,EQUITY
4333,PSPSF,PSP Swiss Property AG,2020-02-25T05:00:00.000Z,TNS,,1.04,,0,EQUITY
4334,NLFKF,Nilfisk Holding A/S,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4335,ADMS,"Adamas Pharmaceuticals, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.85,-0.83,2.47,0,EQUITY
4336,AKCA,"Akcea Therapeutics, Inc.",2020-02-25T05:00:00.000Z,TNS,1.11,0.86,-22.66,0,EQUITY
4337,ALC,Alcon Inc.,2020-02-25T05:00:00.000Z,TNS,0.46,0.45,-2.81,0,EQUITY
4338,LMPX,"LMP Automotive Holdings, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.09,-0.07,22.22,0,EQUITY
4339,JMIA,Jumia Technologies AG,2020-02-25T05:00:00.000Z,TNS,-0.66,,,0,EQUITY
4340,AMRN,Amarin Corporation plc,2020-02-25T05:00:00.000Z,TNS,-0.02,0.02,195.24,0,EQUITY
4341,DIZTF,Dignitana AB (publ.),2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4342,ECAOF,Eco (Atlantic) Oil & Gas Ltd.,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4343,VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",2020-02-25T05:00:00.000Z,TNS,0.41,0.66,59.81,0,EQUITY
4344,AINC,Ashford Inc.,2020-02-25T05:00:00.000Z,TNS,1.47,1.27,-13.43,0,EQUITY
4345,ALLK,Allakos Inc.,2020-02-25T05:00:00.000Z,TNS,-0.47,-0.51,-7.82,0,EQUITY
4346,ALRM,"Alarm.com Holdings, Inc.",2020-02-25T05:00:00.000Z,TNS,0.33,0.43,31.5,0,EQUITY
4347,ASTVF,Austevoll Seafood ASA,2020-02-25T05:00:00.000Z,TNS,1.97,0.76,-61.48,0,EQUITY
4348,AGR,"Avangrid, Inc.",2020-02-25T05:00:00.000Z,TNS,0.76,0.74,-3.01,0,EQUITY
4349,ANH,Anworth Mortgage Asset Corporation,2020-02-25T05:00:00.000Z,TNS,0.1,0.07,-30.0,0,EQUITY
4350,AVNS,"Avanos Medical, Inc.",2020-02-25T05:00:00.000Z,TNS,0.32,0.34,7.59,0,EQUITY
4351,AGM,Federal Agricultural Mortgage Corporation,2020-02-25T05:00:00.000Z,TNS,2.06,2.27,10.19,0,EQUITY
4352,AHCO,AdaptHealth Corp.,2020-02-25T05:00:00.000Z,TNS,0.07,-0.1,-253.85,0,EQUITY
4353,NPRUF,Northview Apartment Real Estate Investment Trust,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4354,LYSFF,Leroy Seafood Group ASA,2020-02-25T05:00:00.000Z,TNS,1.03,1.03,0.0,0,EQUITY
4355,JYSKF,Jyske Bank A/S,2020-02-25T05:00:00.000Z,TNS,10.93,12.0,9.79,0,EQUITY
4356,TA,TravelCenters of America Inc.,2020-02-25T05:00:00.000Z,TNS,-1.01,-0.89,11.88,0,EQUITY
4357,ONZBF,"Organizacion Soriana, S. A. B. de C. V.",2020-02-25T05:00:00.000Z,TNS,0.67,0.65,-3.42,0,EQUITY
4358,MXCHF,"Orbia Advance Corporation, S.A.B. de C.V.",2020-02-25T05:00:00.000Z,TNS,0.03,0.0,-103.45,0,EQUITY
4359,ANH-PC,Anworth Mortgage Asset Corporation,2020-02-25T05:00:00.000Z,TNS,0.1,0.07,-30.0,0,EQUITY
4360,ASMIY,ASM International NV,2020-02-25T05:00:00.000Z,TNS,2.13,2.2,3.29,0,EQUITY
4361,CDPYF,Canadian Apartment Properties Real Estate Investment Trust,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4362,AOIFF,Africa Oil Corp.,2020-02-25T05:00:00.000Z,TNS,0.11,-0.43,-490.91,0,EQUITY
4363,AMT,American Tower Corporation (REIT),2020-02-25T05:00:00.000Z,TNS,1.03,1.26,22.57,0,EQUITY
4364,AGM-PE,Federal Agricultural Mortgage Corporation,2020-02-25T05:00:00.000Z,TNS,2.06,2.27,10.19,0,EQUITY
4365,AGM-PD,Federal Agricultural Mortgage Corporation,2020-02-25T05:00:00.000Z,TNS,2.06,2.27,10.19,0,EQUITY
4366,HKXCF,Hong Kong Exchanges and Clearing Limited,2020-02-25T05:00:00.000Z,TNS,1.73,1.56,-9.62,0,EQUITY
4367,ASMXF,ASM International NV,2020-02-25T05:00:00.000Z,TNS,2.13,2.2,3.29,0,EQUITY
4368,AHT,"Ashford Hospitality Trust, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.5,-0.39,22.0,0,EQUITY
4369,ACRS,"Aclaris Therapeutics, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.39,-0.45,-13.92,0,EQUITY
4370,CAOLF,China Aviation Oil (Singapore) Corporation Ltd,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4371,AKO-B,Embotelladora Andina S.A.,2020-02-25T05:00:00.000Z,TNS,0.28,0.73,159.29,0,EQUITY
4372,AWLCF,Awilco Drilling PLC,2020-02-25T05:00:00.000Z,TNS,-0.11,-0.49,-326.09,0,EQUITY
4373,ARC,ARC Document Solutions Inc,2020-02-26T02:00:00.000Z,AMC,,,,0,EQUITY
4374,CGBD,"TCG BDC, Inc.",2020-02-25T05:00:00.000Z,TNS,0.43,0.43,-0.46,0,EQUITY
4375,CBRL,"Cracker Barrel Old Country Store, Inc.",2020-02-25T05:00:00.000Z,TNS,2.58,2.55,-1.16,0,EQUITY
4376,HLFBF,Hong Leong Financial Group Berhad,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4377,TPBTF,Betmakers Technology Group Ltd,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4378,MCPNF,MMC Corporation Berhad,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4379,RNDB,"Randolph Bancorp, Inc.",2020-02-25T05:00:00.000Z,TNS,0.19,0.16,-15.79,0,EQUITY
4380,BKFKF,P/F Bakkafrost,2020-02-25T05:00:00.000Z,TNS,6.3,5.89,-6.55,0,EQUITY
4381,BBSI,"Barrett Business Services, Inc.",2020-02-25T05:00:00.000Z,TNS,1.29,1.51,17.51,0,EQUITY
4382,BMO,Bank of Montreal,2020-02-25T05:00:00.000Z,TNS,2.37,2.41,1.9,0,EQUITY
4383,BNS,The Bank of Nova Scotia,2020-02-25T05:00:00.000Z,TNS,1.75,1.83,4.75,0,EQUITY
4384,NSLYF,Nestle (Malaysia) Berhad,2020-02-25T05:00:00.000Z,TNS,2.9,0.56,-80.62,0,EQUITY
4385,RCKY,"Rocky Brands, Inc.",2020-02-25T05:00:00.000Z,TNS,0.47,0.68,44.68,0,EQUITY
4386,PBLOF,Public Bank Berhad,2020-02-25T05:00:00.000Z,TNS,0.37,0.36,-2.16,0,EQUITY
4387,RRGB,"Red Robin Gourmet Burgers, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.17,-0.36,-115.57,0,EQUITY
4388,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,2020-02-25T05:00:00.000Z,TNS,-1.87,-2.85,-52.16,0,EQUITY
4389,HIPEF,Hibiscus Petroleum Berhad,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4390,KNGPF,KNM Group Berhad,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
